                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.88813,                0.91411,                  2.124,                 1.3927,                0.84618,                0.84989,                0.90559,                0.66417,                0.84687,                0.85353,                0.91723,                0.74147,                 1.0785,                 1.2947,                0.92151,                 1.6172,             0.00066522,             0.00066522,             0.00066522
                      2,                 0.8379,                0.84881,                0.75963,                  1.322,                0.92254,                0.88133,                0.94406,                0.73669,                 0.9247,                 0.8827,                0.94524,                0.79169,                0.89017,                0.93064,                0.65516,                 1.4262,              0.0013187,              0.0013187,              0.0013187
                      3,                0.82352,                0.81345,                0.69809,                 1.2994,                0.88264,                0.93813,                0.96859,                0.77573,                0.88463,                0.94024,                0.96924,                0.83886,                0.80001,                0.70997,                0.62665,                 1.2929,               0.001959,               0.001959,               0.001959
                      4,                0.73716,                0.73192,                0.61222,                 1.2346,                0.91137,                0.95656,                0.98117,                0.79955,                0.91643,                 0.9556,                0.98154,                  0.873,                   0.75,                0.61503,                0.62637,                 1.2633,              0.0019406,              0.0019406,              0.0019406
                      5,                 0.7329,                 0.7086,                0.61302,                 1.2083,                0.91968,                0.94715,                0.97991,                0.79037,                0.91968,                0.94715,                0.97631,                0.87643,                0.78416,                0.62843,                0.53566,                 1.3744,              0.0019208,              0.0019208,              0.0019208
                      6,                0.68835,                0.68043,                0.54754,                 1.1832,                0.92214,                 0.9556,                0.98521,                0.83401,                0.92214,                 0.9556,                0.98525,                0.88193,                0.68741,                0.63614,                0.47555,                 1.1989,               0.001901,               0.001901,               0.001901
                      7,                0.67063,                 0.6856,                0.52481,                 1.1678,                0.95878,                0.96829,                0.99103,                0.86104,                0.95878,                0.96829,                0.99116,                0.90557,                0.62395,                 0.5567,                0.41745,                 1.1742,              0.0018812,              0.0018812,              0.0018812
                      8,                0.62985,                0.62288,                0.47838,                 1.1391,                0.96543,                0.97463,                0.98954,                0.83107,                0.96543,                0.97463,                0.98954,                0.88793,                0.67684,                0.56605,                0.47336,                 1.1381,              0.0018614,              0.0018614,              0.0018614
                      9,                0.61606,                0.65153,                0.46859,                 1.1363,                0.95949,                0.97674,                0.98995,                0.86206,                0.95949,                0.97674,                0.98995,                0.90853,                0.58334,                0.53174,                0.39225,                 1.1211,              0.0018416,              0.0018416,              0.0018416
                     10,                0.61373,                0.61578,                0.45838,                 1.1245,                0.95829,                0.97134,                0.99138,                0.84696,                0.95829,                0.97134,                0.99138,                 0.9005,                0.62185,                0.54058,                0.42372,                 1.1433,              0.0018218,              0.0018218,              0.0018218
                     11,                0.57421,                0.59689,                0.42987,                 1.0964,                0.95218,                0.98097,                0.98598,                0.86622,                0.95218,                0.98097,                0.98598,                0.90292,                0.57264,                0.54155,                0.40142,                 1.0698,               0.001802,               0.001802,               0.001802
                     12,                0.57819,                0.57645,                0.42721,                 1.0962,                0.94692,                 0.9704,                0.98574,                0.84162,                0.94692,                 0.9704,                0.98574,                0.88785,                0.61207,                0.56165,                0.43693,                 1.1576,              0.0017822,              0.0017822,              0.0017822
                     13,                0.57521,                0.57467,                0.42782,                 1.0946,                0.96971,                0.98732,                 0.9903,                0.86957,                0.96971,                0.98732,                 0.9903,                0.91428,                0.57087,                  0.484,                0.37507,                 1.0948,              0.0017624,              0.0017624,              0.0017624
                     14,                0.57493,                0.56795,                0.42823,                 1.0825,                0.96532,                0.98097,                0.99247,                0.86777,                0.96532,                0.98097,                0.99247,                  0.911,                0.57326,                0.49961,                0.38062,                 1.0827,              0.0017426,              0.0017426,              0.0017426
                     15,                0.57625,                0.56901,                0.40267,                 1.0731,                0.97548,                0.97252,                0.99193,                0.84732,                0.97548,                0.97252,                0.99193,                0.89848,                0.63185,                0.57299,                0.40765,                 1.1724,              0.0017228,              0.0017228,              0.0017228
